Section,Path,Left,Right,Summary
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.post.description,,,"Removed:
- "
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: domesticRequest
  in: body
  description: Data for domestic transfer
  required: true
  schema:
    $ref: '#/definitions/PaymentDomesticRequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/PaymentDomesticRequest'
  in: body
  name: domesticRequest
  description: Data for domestic transfer
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.post.responses.500,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.post.responses.503,"description: Service Unavailable
schema:
  $ref: '#/definitions/Error'
",,"Removed:
- description: Service Unavailable
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.post.responses.510,,"description: Internal Server Error
schema:
  $ref: '#/definitions/Error'
","Added:
- description: Internal Server Error
- schema: $ref: '#/definitions/Error'"
PIS,/v2_1_1.1/payments/v2_1_1.1/domestic.post.security,"- xs2a_auth_aspsp:
  - pis
- xs2a_auth_decoupled:
  - pis
","- xs2a_auth_decoupled:
  - pis
","Removed:

- xs2a_auth_aspsp: - pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.x-swagger-router-controller,"pis
...
",,"Removed:
- pis"
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.post.description,,,"Removed:
- "
PIS,/v2_1_1.1/payments/v2_1_1.1/EEA.post.parameters,"- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- name: EEARequest
  in: body
  description: Data for SEPA foreign transfer
  required: true
  schema:
    $ref: '#/definitions/PaymentEEARequest'
","- $ref: '#/parameters/authorizationParam'
- $ref: '#/parameters/acceptEncodingParam'
- $ref: '#/parameters/acceptLanguageParam'
- $ref: '#/parameters/acceptCharsetParam'
- $ref: '#/parameters/xjwsSignatureParam'
- $ref: '#/parameters/xRequestIdParam'
- $ref: '#/parameters/contentTypeParam'
- schema:
    $ref: '#/definitions/PaymentEEARequest'
  in: body
  name: EEARequest
  description: Data for SEPA foreign transfer
  required: true
","Added:

- $ref: #/parameters/contentTypeParam"
